head	rel	tail	hastscore	hasescore	hasdscore
648	0	6393	1.0	1.0	1.0
478	0	8774	1.0	1.0	1.0
553	0	8631	1.0	1.0	1.0
432	0	5924	1.0	1.0	1.0
987	0	5490	1.0	1.0	1.0
1162	0	4602	1.0	1.0	1.0
453	0	9206	1.0	1.0	1.0
2196	0	3056	1.0	1.0	1.0
445	0	5406	1.0	1.0	1.0
1906	0	3634	1.0	1.0	1.0
1335	0	4422	1.0	1.0	1.0
1264	0	3572	1.0	1.0	1.0
154	0	7703	1.0	1.0	1.0
875	0	3724	1.0	1.0	1.0
553	0	2395	1.0	1.0	1.0
648	0	6552	1.0	1.0	1.0
601	0	1231	1.0	1.0	1.0
2448	0	1837	1.0	1.0	1.0
295	0	8143	1.0	1.0	1.0
700	0	6339	1.0	1.0	1.0
1496	0	6419	1.0	1.0	1.0
102	0	6758	1.0	1.0	1.0
464	0	2808	1.0	1.0	1.0
1531	0	7527	1.0	1.0	1.0
902	0	5572	1.0	1.0	1.0
1257	0	3785	1.0	1.0	1.0
648	0	7395	1.0	1.0	1.0
480	0	4971	1.0	1.0	1.0
957	0	6570	1.0	1.0	1.0
1569	0	7439	1.0	1.0	1.0
695	0	5459	1.0	1.0	1.0
591	0	6925	1.0	1.0	1.0
308	0	2674	1.0	1.0	1.0
574	0	6590	1.0	1.0	1.0
1022	0	6722	1.0	1.0	1.0
1852	0	9039	1.0	1.0	1.0
2884	0	1395	1.0	1.0	1.0
266	0	1966	1.0	1.0	1.0
611	0	5830	1.0	1.0	1.0
3088	0	9209	1.0	1.0	1.0
576	0	5177	1.0	1.0	1.0
1522	0	6826	1.0	1.0	1.0
792	0	5375	1.0	1.0	1.0
964	0	3218	1.0	1.0	1.0
133	0	5832	1.0	1.0	1.0
805	0	7470	1.0	1.0	1.0
625	0	7292	1.0	1.0	1.0
435	0	7218	1.0	1.0	1.0
133	0	5471	1.0	1.0	1.0
133	0	7422	1.0	1.0	1.0
517	0	6573	1.0	1.0	1.0
450	0	4601	1.0	1.0	1.0
1631	0	3700	1.0	1.0	1.0
1174	0	4478	1.0	1.0	1.0
2041	0	5183	1.0	1.0	1.0
517	0	8574	1.0	1.0	1.0
503	0	4352	1.0	1.0	1.0
416	0	2109	1.0	1.0	1.0
1335	0	6819	1.0	1.0	1.0
2149	0	5749	1.0	1.0	1.0
779	0	5585	1.0	1.0	1.0
550	0	4370	1.0	1.0	1.0
1979	0	8961	1.0	1.0	1.0
987	0	4272	1.0	1.0	1.0
1757	0	2578	1.0	1.0	1.0
6	0	2641	1.0	1.0	1.0
0	0	4113	1.0	1.0	1.0
458	0	3080	1.0	1.0	1.0
521	0	2455	1.0	1.0	1.0
464	0	3629	1.0	1.0	1.0
458	0	4540	1.0	1.0	1.0
1482	0	3580	1.0	1.0	1.0
964	0	2959	1.0	1.0	1.0
501	0	3830	1.0	1.0	1.0
1139	0	1140	1.0	1.0	1.0
695	0	6097	1.0	1.0	1.0
88	0	2415	1.0	1.0	1.0
957	0	8000	1.0	1.0	1.0
1725	0	6959	1.0	1.0	1.0
574	0	7098	1.0	1.0	1.0
1823	0	8071	1.0	1.0	1.0
695	0	6138	1.0	1.0	1.0
1019	0	5987	1.0	1.0	1.0
68	0	8010	1.0	1.0	1.0
1891	0	8285	1.0	1.0	1.0
2423	0	8128	1.0	1.0	1.0
816	0	6923	1.0	1.0	1.0
578	0	2793	1.0	1.0	1.0
1194	0	4601	1.0	1.0	1.0
1042	0	6495	1.0	1.0	1.0
2020	0	1295	1.0	1.0	1.0
648	0	6590	1.0	1.0	1.0
1889	0	4950	1.0	1.0	1.0
700	0	6640	1.0	1.0	1.0
769	0	8166	1.0	1.0	1.0
2850	0	8511	1.0	1.0	1.0
154	0	6253	1.0	1.0	1.0
485	0	7862	1.0	1.0	1.0
769	0	8881	1.0	1.0	1.0
1364	0	3697	1.0	1.0	1.0
486	0	6986	1.0	1.0	1.0
816	0	8362	1.0	1.0	1.0
419	0	8016	1.0	1.0	1.0
501	0	4934	1.0	1.0	1.0
2171	0	6537	1.0	1.0	1.0
262	0	5178	1.0	1.0	1.0
1852	0	4255	1.0	1.0	1.0
110	0	4622	1.0	1.0	1.0
847	0	5959	1.0	1.0	1.0
64	0	6961	1.0	1.0	1.0
2500	0	8392	1.0	1.0	1.0
899	0	3312	1.0	1.0	1.0
1092	0	1694	1.0	1.0	1.0
501	0	6846	1.0	1.0	1.0
660	0	3551	1.0	1.0	1.0
501	0	3568	1.0	1.0	1.0
1128	0	4552	1.0	1.0	1.0
185	0	1747	1.0	1.0	1.0
458	0	4034	1.0	1.0	1.0
180	0	8628	1.0	1.0	1.0
454	0	3153	1.0	1.0	1.0
440	0	3554	1.0	1.0	1.0
301	0	7651	1.0	1.0	1.0
891	0	160	1.0	1.0	1.0
1496	0	5054	1.0	1.0	1.0
1646	0	8858	1.0	1.0	1.0
442	0	2832	1.0	1.0	1.0
601	0	4050	1.0	1.0	1.0
1880	0	3742	1.0	1.0	1.0
642	0	7481	1.0	1.0	1.0
574	0	5799	1.0	1.0	1.0
555	0	3618	1.0	1.0	1.0
1364	0	4466	1.0	1.0	1.0
1422	0	4493	1.0	1.0	1.0
464	0	5704	1.0	1.0	1.0
2041	0	5387	1.0	1.0	1.0
1493	0	1327	1.0	1.0	1.0
957	0	6041	1.0	1.0	1.0
269	0	4064	1.0	1.0	1.0
148	0	3423	1.0	1.0	1.0
521	0	5927	1.0	1.0	1.0
1073	0	937	1.0	1.0	1.0
729	0	778	1.0	1.0	1.0
1889	0	4929	1.0	1.0	1.0
1064	0	2610	1.0	1.0	1.0
1906	0	5833	1.0	1.0	1.0
148	0	7363	1.0	1.0	1.0
442	0	4541	1.0	1.0	1.0
2041	0	2042	1.0	1.0	1.0
1823	0	8951	1.0	1.0	1.0
2431	0	3785	1.0	1.0	1.0
1108	0	5834	1.0	1.0	1.0
1345	0	4271	1.0	1.0	1.0
1042	0	5121	1.0	1.0	1.0
648	0	3976	1.0	1.0	1.0
648	0	8329	1.0	1.0	1.0
2570	0	3049	1.0	1.0	1.0
2570	0	3730	1.0	1.0	1.0
64	0	2367	1.0	1.0	1.0
119	0	7185	1.0	1.0	1.0
877	0	9090	1.0	1.0	1.0
902	0	3333	1.0	1.0	1.0
349	0	2604	1.0	1.0	1.0
1103	0	2198	1.0	1.0	1.0
769	0	2219	1.0	1.0	1.0
1815	0	3344	1.0	1.0	1.0
133	0	7738	1.0	1.0	1.0
264	0	9021	1.0	1.0	1.0
1493	0	6843	1.0	1.0	1.0
306	0	5018	1.0	1.0	1.0
1241	0	8237	1.0	1.0	1.0
700	0	5708	1.0	1.0	1.0
553	0	4310	1.0	1.0	1.0
1918	0	3064	1.0	1.0	1.0
574	0	8805	1.0	1.0	1.0
769	0	1295	1.0	1.0	1.0
1893	0	313	1.0	1.0	1.0
1218	0	5154	1.0	1.0	1.0
1409	0	1532	1.0	1.0	1.0
269	0	6113	1.0	1.0	1.0
660	0	7826	1.0	1.0	1.0
1328	0	6609	1.0	1.0	1.0
816	0	1117	1.0	1.0	1.0
553	0	6878	1.0	1.0	1.0
1174	0	6500	1.0	1.0	1.0
133	0	1811	1.0	1.0	1.0
453	0	2332	1.0	1.0	1.0
102	0	2889	1.0	1.0	1.0
586	0	2490	1.0	1.0	1.0
295	0	6571	1.0	1.0	1.0
1335	0	3363	1.0	1.0	1.0
454	0	7142	1.0	1.0	1.0
1058	0	4333	1.0	1.0	1.0
