entity,id
Sample_GSM1318011,462
Protein_MGAT1,463
Reaction_R-HSA-9610156,464
Pathway_R-HSA-166520,465
Protein_AMY1A,466
Sample_GSM1317979,467
Protein_FCHO2,468
Sample_GSM1317940,469
Protein_ASTE1,470
Protein_STAT1,471
Pathway_R-HSA-5663202,472
Protein_HBA2,473
GO_0050896_instance,474
Protein_MED30,475
Reaction_R-HSA-9854128,476
Protein_VPS13B,477
Protein_GOLPH3,478
GO_0031090_instance,479
Protein_BARD1,480
Reaction_R-HSA-5689649,481
Protein_PPP1CB,482
Reaction_R-HSA-994034,483
Protein_SP110,484
Sample_GSM1317968,485
Protein_PABPN1,486
Protein_ZCCHC9,487
GO_0050794_instance,488
Reaction_R-HSA-1169403,489
Protein_MCM4,490
Protein_MCL1,491
GO_0048518_instance,492
Protein_HAUS8,493
Protein_ABCA7,494
Sample_GSM1318009,495
Protein_ATPAF1,496
Protein_STAT5A,497
Protein_YY1,498
GO_0008152_instance,499
Protein_PRDX3,500
Protein_NCF4,501
Pathway_R-HSA-9013423,502
Protein_SARAF,503
Sample_GSM1317949,504
Protein_ARMH3,505
Sample_GSM1317897,506
Protein_PIGS,507
Protein_ADAM10,508
GO_0009889_instance,509
Protein_MORF4L1,510
GO_0009891_instance,511
Protein_RTN4,512
GO_0065008_instance,513
Protein_TRIOBP,514
Reaction_R-HSA-9647977,515
Pathway_R-HSA-5684996,516
Protein_GTSE1,517
GO_0005622_instance,518
Protein_INTS1,519
Protein_DNAJB6,520
Protein_DYRK1A,521
GO_0016043_instance,522
Protein_ZC3H18,523
Reaction_R-HSA-9691174,524
Pathway_R-HSA-9716542,525
Protein_ARHGEF1,526
Protein_TUBA4A,527
Pathway_R-HSA-6811436,528
Sample_GSM1317999,529
Protein_TTLL12,530
Protein_SEPTIN6,531
Sample_GSM1318017,532
Protein_SLC35F5,533
Protein_NCOR2,534
Pathway_R-HSA-9833110,535
Pathway_R-HSA-9824446,536
Sample_GSM1318001,537
Protein_NABP1,538
Sample_GSM1317964,539
Reaction_R-HSA-8985591,540
Pathway_R-HSA-422475,541
Protein_MTA2,542
GO_0043167_instance,543
Protein_SP140,544
Protein_RPS6KB2,545
Reaction_R-HSA-389083,546
Pathway_R-HSA-186797,547
Reaction_R-HSA-5672950,548
Pathway_R-HSA-5683057,549
Protein_RNF181,550
Protein_IRF1,551
Reaction_R-HSA-6814120,552
Pathway_R-HSA-390466,553
Protein_TENT5A,554
Reaction_R-HSA-8944569,555
Sample_GSM1318056,556
Protein_KLHL2,557
Reaction_R-HSA-8952631,558
Reaction_R-HSA-6798743,559
Pathway_R-HSA-6798695,560
Protein_UBE2D1,561
Protein_TMBIM1,562
GO_0065007_instance,563
Protein_BTLA,564
Protein_TRAF3IP3,565
Protein_MAN2A1,566
Pathway_R-HSA-199920,567
Protein_FTH1,568
GO_0048519_instance,569
Protein_MCM2,570
GO_0043168_instance,571
Protein_ATG3,572
Protein_ATG5,573
Protein_BACH1,574
GO_0051253_instance,575
Protein_CCDC88B,576
Protein_UQCRQ,577
Sample_GSM1317914,578
Protein_EVA1B,579
Protein_MRPS5,580
Protein_CAMLG,581
Pathway_R-HSA-419771,582
Protein_SIAH1,583
Pathway_R-HSA-2122948,584
Protein_CD19,585
Sample_GSM1317931,586
Protein_BCL7C,587
Protein_KIF20A,588
Protein_NUSAP1,589
Protein_HMMR,590
Pathway_R-HSA-110330,591
Pathway_R-HSA-73894,592
Sample_GSM1317927,593
Reaction_R-HSA-5683588,594
Pathway_R-HSA-1632852,595
Protein_HAL,596
Protein_ARHGAP30,597
Protein_SLC41A3,598
GO_0005739_instance,599
Protein_TMEM160,600
Protein_TRAPPC11,601
Reaction_R-HSA-264435,602
Protein_ZNF217,603
Protein_TAOK2,604
Protein_SNRNP70,605
Protein_SF3B5,606
Protein_MRPL28,607
GO_0043231_instance,608
Protein_SELENOT,609
GO_0051649_instance,610
Sample_GSM1317923,611
Sample_GSM1318050,612
Protein_UBLCP1,613
Protein_SYF2,614
Reaction_R-HSA-2408529,615
Pathway_R-HSA-2408557,616
Protein_WSB2,617
GO_0051716_instance,618
Protein_YBX1,619
Sample_GSM1317955,620
Protein_CDCA5,621
Protein_TYSND1,622
Protein_SLC40A1,623
Sample_GSM1317954,624
Protein_UNC119,625
Protein_MRPL2,626
Reaction_R-HSA-5419281,627
Reaction_R-HSA-9645134,628
Pathway_R-HSA-9645135,629
Reaction_R-HSA-8959571,630
Pathway_R-HSA-389356,631
Protein_SEC16A,632
GO_0010646_instance,633
Reaction_R-HSA-9842669,634
Protein_PPP2CB,635
Pathway_R-HSA-453279,636
Sample_GSM1317988,637
Protein_TRAF2,638
GO_0005789_instance,639
Protein_GDI1,640
Protein_COPG1,641
Protein_DDX27,642
GO_0000166_instance,643
Protein_DHRS7,644
Reaction_R-HSA-389523,645
Pathway_R-HSA-388841,646
Protein_IDS,647
Protein_GMPPA,648
Protein_CDK9,649
Protein_ARHGAP18,650
GO_0005856_instance,651
Protein_ADRM1,652
Protein_CHKB,653
GO_0009987_instance,654
Protein_GABPA,655
Protein_RPS15,656
GO_0030055_instance,657
Reaction_R-HSA-6805122,658
Protein_DRAP1,659
Protein_AMD1,660
Reaction_R-HSA-9664976,661
Sample_GSM1317929,662
Protein_MRTFA,663
GO_0016567_instance,664
Protein_SMARCC2,665
Reaction_R-HSA-9824981,666
Reaction_R-HSA-8955285,667
Pathway_R-HSA-597592,668
Protein_HEBP2,669
Protein_SLC15A4,670
Protein_PRKCB,671
Sample_GSM1318042,672
Protein_ACTR3,673
Reaction_R-HSA-5626228,674
Pathway_R-HSA-1852241,675
Protein_OGFR,676
Protein_WDR77,677
Pathway_R-HSA-9755779,678
Pathway_R-HSA-1643685,679
Sample_GSM1318036,680
Protein_NME1,681
Protein_TLR1,682
GO_0048522_instance,683
Protein_EAF1,684
Sample_GSM1317970,685
Protein_ANKZF1,686
Protein_MED4,687
Protein_THOC2,688
Protein_MTPN,689
Protein_CHMP2B,690
GO_0005829_instance,691
Protein_KTN1,692
Protein_SMAD4,693
Protein_MED28,694
Protein_CD47,695
Protein_COMMD8,696
Protein_COMMD9,697
GO_0008104_instance,698
Sample_GSM1317965,699
Protein_ASAP1,700
Reaction_R-HSA-8983373,701
Pathway_R-HSA-449147,702
Protein_TANK,703
Reaction_R-HSA-9823906,704
GO_0097190_instance,705
Protein_DPP9,706
Sample_GSM1317976,707
Protein_NPIPB3,708
Reaction_R-HSA-1112727,709
Protein_PML,710
Protein_RPLP1,711
Sample_GSM1317921,712
Protein_RPS21,713
Protein_PPP2R2B,714
Protein_NUP188,715
Reaction_R-HSA-165047,716
Protein_KBTBD2,717
Protein_PRDM4,718
GO_0006355_instance,719
Pathway_R-HSA-69166,720
Pathway_R-HSA-69306,721
Sample_GSM1318055,722
Protein_SDCBP,723
Reaction_R-HSA-2997616,724
Pathway_R-HSA-392499,725
Reaction_R-HSA-8985627,726
Pathway_R-HSA-425410,727
Protein_MTF1,728
Protein_RNF24,729
Protein_CEP164,730
Protein_FBXO8,731
Protein_OSBPL8,732
Protein_RABL6,733
Reaction_R-HSA-4570496,734
Protein_SLTM,735
Protein_TCP1,736
Sample_GSM1317934,737
Protein_AKAP11,738
Protein_IDH1,739
Protein_PAICS,740
Protein_NCK1,741
Protein_KLHL24,742
GO_0043687_instance,743
Protein_SULT1A3,744
Pathway_R-HSA-6804756,745
Protein_TMEM223,746
GO_0005743_instance,747
Protein_NXF1,748
GO_0005515_instance,749
Protein_GAPDH,750
Protein_ACTG1,751
Protein_CYB5R4,752
GO_1903706_instance,753
Sample_GSM1317903,754
Protein_PIK3R1,755
Reaction_R-HSA-186800,756
Protein_CTNNB1,757
Reaction_R-HSA-381799,758
Protein_RNASE2,759
Protein_NAP1L1,760
Sample_GSM1318031,761
Protein_TAB2,762
